Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
M834107,8,otc alterations permit,9/21/17,7151,14,247,,Saint Charles,Av,0,,street space,issued,9/21/17,9/21/17,9/21/17,,9/21/17,,,,,,,,1,,,,,,,,,,,,7,Oceanview/Merced/Ingleside,94132,"(37.70944796125683, -122.4690186732598)",1.48058E+12
M836287,8,otc alterations permit,9/27/17,540,2,2843,,Webster,St,,,street space,issued,9/27/17,9/27/17,9/27/17,,9/27/17,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79686934709798, -122.43412132328224)",1.48122E+12
M836847,8,otc alterations permit,9/28/17,959,29,2615,,Divisadero,St,,,street space,issued,9/28/17,9/28/17,9/28/17,,9/28/17,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94123,"(37.79391508281414, -122.44195481827035)",1.48143E+12
M839427,8,otc alterations permit,10/4/17,6780,34,252,,Cotter,St,,,street space,issued,10/4/17,10/4/17,10/4/17,,10/4/17,,,,,,,,1,,,,,,,,,,,,11,Outer Mission,94112,"(37.729885737657085, -122.43669590253097)",1.4822E+12
2.0171E+11,8,otc alterations permit,10/11/17,5934,20,938,,Felton,St,,,reroofing,complete,10/31/17,10/11/17,10/11/17,10/31/17,10/11/17,,2,2,,,4/11/18,14000,14000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,9,Portola,94134,"(37.72775517946509, -122.41419227409298)",1.48293E+12
M842668,8,otc alterations permit,10/11/17,1558,9,535,,15th,Av,,,street space pmerit,issued,10/11/17,10/11/17,10/11/17,,10/11/17,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94118,"(37.777944902487455, -122.47412411653805)",1.48295E+12
M842987,8,otc alterations permit,10/11/17,797,22,896,,Fillmore,St,,,street space,issued,10/11/17,10/11/17,10/11/17,,10/11/17,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94117,"(37.777501464434096, -122.4313176580435)",1.48302E+11
M843007,8,otc alterations permit,10/12/17,1095,5,2425,,Geary,Bl,,,street space,issued,10/12/17,10/12/17,10/12/17,,10/12/17,,,,,,,,1,,,,,,,,,,,,2,Lone Mountain/USF,94115,"(37.78231492051284, -122.44311204170013)",1.48305E+11
M843807,8,otc alterations permit,10/13/17,24,011C,2718,,Hyde,St,,,street space for pa201709279745,reinstated,10/20/17,10/13/17,10/13/17,,10/13/17,,,,,,,,1,,,,,,,,,,,,2,Russian Hill,94109,"(37.806017225478456, -122.42015526260425)",1.48331E+12
M845227,8,otc alterations permit,10/17/17,1431,28,264,,03rd,Av,,,street space & sidewalk repair,issued,10/17/17,10/17/17,10/17/17,,10/17/17,,,,,,,,1,,,,,,,,,,,,1,Inner Richmond,94118,"(37.78372760851531, -122.46092340202318)",1.48365E+11
M845327,8,otc alterations permit,10/17/17,299,19,861,,Sutter,St,,,street space,issued,10/17/17,10/17/17,10/17/17,,10/17/17,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.788197996005636, -122.41442324510548)",1.48368E+11
